Sample_ID,Nodes,Clusters,Latency_ms,Tokens
0,1,8,1409.585952758789,1350.7
1,1,8,559.6790313720703,955.5
2,1,8,893.4950828552246,1192.1000000000001
3,10,28,726.7999649047852,669.5
4,4,14,582.4270248413086,373.1
5,1,8,784.9290370941162,469.3
6,8,22,557.8181743621826,608.4
7,13,41,918.5891151428223,811.2
8,5,19,783.2198143005371,990.6
9,5,16,1322.6568698883057,1367.6000000000001
0,1,8,565.0970935821533,50.7
1,2,8,605.8859825134277,61.1
2,1,8,695.4190731048584,35.1
3,1,8,657.1002006530762,36.4
4,1,8,747.0040321350098,40.300000000000004
5,2,8,605.9749126434326,50.7
6,2,8,794.9309349060059,57.2
7,2,8,904.8991203308105,42.9
8,3,14,646.787166595459,62.400000000000006
9,1,8,583.8489532470703,33.800000000000004
